anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,143.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,165.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,166.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,133.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,150.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,130.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,169.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,105.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,128.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,172.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,161.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,120.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,174.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,152.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,132.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,178.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,142.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,139.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,124.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Tipo de accidente,76.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,2073.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,71.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,76.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,57.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,57.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,61.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,62.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,66.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,78.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,58.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,75.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,66.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,79.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,80.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,75.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,77.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,68.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,66.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,66.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,58.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,72.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,,70.0,hechos,10,PRPNC24_cuadro_10.csv
